ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CodigoDiretoria;NomeDiretoria;NomeEscola;NomeMunicipio;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MÉDIO
2021;11782;35011782;20102;SANTOS;SUETONIO BITTENCOURT JUNIOR PROFESSOR;SANTOS;;5,69;
2021;11794;35011794;20102;SANTOS;NEVES PRADO MONTEIRO;SANTOS;;2,34;1,2
2021;11812;35011812;20102;SANTOS;FERNANDO DE AZEVEDO PROFESSOR;SANTOS;;3,94;2,97
2021;11824;35011824;20102;SANTOS;PRIMO FERREIRA PROFESSOR;SANTOS;;2,99;2,21
2021;11836;35011836;20102;SANTOS;CANADA;SANTOS;;3,27;2,4
2021;11861;35011861;20102;SANTOS;PAULO FILGUEIRAS JUNIOR DOUTOR;SANTOS;;1,94;
2021;11873;35011873;20401;AMERICANA;LUIZ HIPOLITO PROFESSOR;AMERICANA;5,77;;
2021;11885;35011885;20102;SANTOS;ALZIRA MARTINS LICHTI PROFESSORA;SANTOS;;1,98;1,79
2021;11897;35011897;20102;SANTOS;ANTONIO ABLAS FILHO DOUTOR;SANTOS;;;4,01
2021;11903;35011903;20102;SANTOS;BARNABE;SANTOS;;3,03;1,63
2021;11915;35011915;20102;SANTOS;BARTOLOMEU DE GUSMAO PADRE;SANTOS;;;1,85
2021;11927;35011927;20102;SANTOS;MARQUES DE SAO VICENTE;SANTOS;;4,06;2,91
2021;11940;35011940;20102;SANTOS;FRANCISCO MEIRA PROFESSOR;SANTOS;;2,34;1,52
2021;11952;35011952;20103;SAO VICENTE;SILVIA JORGE POLLASTRINI PROFESSORA;ITANHAEM;;2,6;1,89
2021;12002;35012002;20103;SAO VICENTE;BENEDITO CALIXTO;ITANHAEM;;;2,25
2021;12014;35012014;20103;SAO VICENTE;FRANCISCO MARTINS DOS SANTOS;PRAIA GRANDE;;3,26;2,25
2021;12026;35012026;20103;SAO VICENTE;DAGOBERTO NOGUEIRA DA FONSECA;ITANHAEM;;3,08;2,12
2021;12038;35012038;20103;SAO VICENTE;JON TEODORESCO PROFESSOR;ITANHAEM;;;3,06
2021;12051;35012051;20103;SAO VICENTE;ABRAHAO JACOB LAFER DOUTOR;PRAIA GRANDE;;;2,91
2021;12063;35012063;20103;SAO VICENTE;ALFREDO REIS VIEGAS DOUTOR;PRAIA GRANDE;;;3,15
2021;12075;35012075;20103;SAO VICENTE;ANTONIO MOREIRA COELHO DEPUTADO;SAO VICENTE;;2,61;1,82
2021;12087;35012087;20103;SAO VICENTE;ENIO VILAS BOAS PROFESSOR;SAO VICENTE;;3,57;
2021;12129;35012129;20103;SAO VICENTE;MARIA THEREZA DA CUNHA PEDROSO PROFESSORA;SAO VICENTE;;2,33;1,35
2021;12130;35012130;20103;SAO VICENTE;JOSE NIGRO PROFESSOR;SAO VICENTE;;2,8;1,24
2021;12142;35012142;20103;SAO VICENTE;ZULMIRA DE ALMEIDA LAMBERT PROFESSORA;SAO VICENTE;;;2,45
2021;12178;35012178;20103;SAO VICENTE;JARDIM BOPEVA;PRAIA GRANDE;;;2,71
2021;12191;35012191;20103;SAO VICENTE;AUGUSTO PAES D AVILA REVERENDO;PRAIA GRANDE;;;2,34
2021;12212;35012212;20103;SAO VICENTE;MARTIM AFONSO;SAO VICENTE;;;2,97
2021;12221;35012221;20103;SAO VICENTE;LAUDELINO FERNANDES DOS SANTOS PROFESSOR;PRAIA GRANDE;;;2,21
2021;12233;35012233;20103;SAO VICENTE;MARIA PACHECO NOBRE PROFESSORA;PRAIA GRANDE;;3,54;2,84
2021;12245;35012245;20103;SAO VICENTE;YOLANDA CONTE PROFESSORA;SAO VICENTE;;;1,84
2021;12269;35012269;20103;SAO VICENTE;ARACY DA SILVA FREITAS PROFESSORA;MONGAGUA;;;1,53
2021;12294;35012294;20103;SAO VICENTE;FRANCISCO PEREIRA DA ROCHA DOUTOR;PERUIBE;;2,6;1,77
2021;12300;35012300;20103;SAO VICENTE;MARGARIDA PINHO RODRIGUES;SAO VICENTE;;2,02;1,34
2021;12324;35012324;20103;SAO VICENTE;ARMANDO VICTORIO BEI;SAO VICENTE;;2,52;1,5
2021;12348;35012348;20103;SAO VICENTE;LEOPOLDO JOSE DE SANT ANNA PROFESSOR;SAO VICENTE;;3,1;2,09
2021;12359;35012359;20103;SAO VICENTE;REYNALDO KUNTZ BUSCH DR;PRAIA GRANDE;;;3,51
2021;12361;35012361;20202;GUARATINGUETA;HERMOGENES MAJOR;CRUZEIRO;;2,55;1,87
2021;12373;35012373;20202;GUARATINGUETA;HUMBERTO TURNER;CRUZEIRO;;;1,08
2021;12385;35012385;20202;GUARATINGUETA;VIRGILIO ANTUNES PROF;CRUZEIRO;;;1,76
2021;12397;35012397;20202;GUARATINGUETA;MARIO DA SILVA PINTO DR;CRUZEIRO;;3,04;1,95
2021;12403;35012403;20202;GUARATINGUETA;HORTA CORONEL;LAVRINHAS;;2,97;1,34
2021;12427;35012427;20202;GUARATINGUETA;JOSE DE PAULA FRANCA PROF;QUELUZ;;;1,34
2021;12440;35012440;20202;GUARATINGUETA;MIGUEL PEREIRA;SAO JOSE DO BARREIRO;;;1,81
2021;12464;35012464;20202;GUARATINGUETA;SAO LAURINDO VISCONDE;BANANAL;;;1,64
2021;12488;35012488;20202;GUARATINGUETA;VICENTE DE PAULA ALMEIDA;ARAPEI;;;0,68
2021;12506;35012506;20202;GUARATINGUETA;OSWALDO CRUZ;CRUZEIRO;;3,51;2,23
2021;12531;35012531;20202;GUARATINGUETA;JOSE RODRIGUES ALVES SOBRINHO DR;CRUZEIRO;;2,61;1,42
2021;12543;35012543;20202;GUARATINGUETA;BARAO DA BOCAINA;AREIAS;;;1,46
2021;12555;35012555;20202;GUARATINGUETA;HILDEBRANDO MARTINS SODERO PROF;SILVEIRAS;;2,13;1,44
2021;12580;35012580;20202;GUARATINGUETA;EDGARD DE SOUZA DR;APARECIDA;;;2,41
2021;12609;35012609;20202;GUARATINGUETA;AMERICO ALVES;APARECIDA;;;3,19
2021;12634;35012634;20202;GUARATINGUETA;CLOTILDE AYELLO ROCHA PROFA;GUARATINGUETA;;3,11;1,52
2021;12661;35012661;20202;GUARATINGUETA;RODRIGUES ALVES CONSELHEIRO;GUARATINGUETA;;;2,03
2021;12683;35012683;20202;GUARATINGUETA;JOAQUIM VILELA DE OLIVEIRA MARCONDES;GUARATINGUETA;;4,22;2,52
2021;12695;35012695;20202;GUARATINGUETA;ERNESTO QUISSAK PROF;GUARATINGUETA;;3,06;2,49
2021;12725;35012725;20202;GUARATINGUETA;JOSE FELIX PROF;POTIM;;;1,84
2021;12750;35012750;20202;GUARATINGUETA;MARIA AMALIA DE MAGALHAES TURNER PROFA;GUARATINGUETA;;2,61;1,33
2021;12774;35012774;20202;GUARATINGUETA;PAULO VIRGINIO;CUNHA;;3,21;2,37
2021;12786;35012786;20202;GUARATINGUETA;GERALDO COSTA;CUNHA;;3,51;2,87
2021;12798;35012798;20202;GUARATINGUETA;CASEMIRO DA ROCHA DR;CUNHA;;3,09;
2021;12816;35012816;20202;GUARATINGUETA;MURILLO DO AMARAL PROF;APARECIDA;;;2,76
2021;12828;35012828;20202;GUARATINGUETA;PAULINA CARDOSO PROFA;APARECIDA;;;2,27
2021;12841;35012841;20202;GUARATINGUETA;NILO SANTOS VIEIRA PROF;GUARATINGUETA;;3,44;2,05
2021;12877;35012877;20202;GUARATINGUETA;ANDRE BROCA PROF;ROSEIRA;;;2,34
2021;12889;35012889;20206;TAUBATE;CHICO PADRE;LAGOINHA;;3,32;3,15
